Data sent by CRU0:
Packet: time window: 1, sampaId: 2, channelId: 29, number of samples: 952
Packet: time window: 1, sampaId: 2, channelId: 27, number of samples: 952
Packet: time window: 1, sampaId: 3, channelId: 7, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 2, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 4, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 5, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 6, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 3, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 8, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 15, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 13, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 11, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 10, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 9, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 12, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 14, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 20, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 22, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 16, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 21, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 17, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 19, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 18, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 24, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 23, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 26, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 25, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 29, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 27, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 28, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 1, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 2, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 3, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 4, number of samples: 950
Packet: time window: 1, sampaId: 3, channelId: 31, number of samples: 951
Packet: time window: 1, sampaId: 3, channelId: 30, number of samples: 951
Packet: time window: 1, sampaId: 4, channelId: 0, number of samples: 951
Packet: time window: 1, sampaId: 4, channelId: 11, number of samples: 950
Packet: time window: 1, sampaId: 4, channelId: 5, number of samples: 950
